ItemName,PARA_1,PARA_2,PARA_3,PARA_4,PARA_5,PARA_6,PARA_7,PARA_8,PARA_9,PARA_10,PARA_11,PARA_12,PARA_13,PARA_14,PARA_15,PARA_16,PARA_17,PARA_18,PARA_19,PARA_20,PARA_21,PARA_22,PARA_23,PARA_24,PARA_25,PARA_26,PARA_27,PARA_28,PARA_29,PARA_30,PARA_31,PARA_32,PARA_33,PARA_34,PARA_35,PARA_36,PARA_37,PARA_38,PARA_39,PARA_40,PARA_41,PARA_42,PARA_43,PARA_44,PARA_45
K0CA002-A-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
0CA002-A-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
09CA001-0-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
KPR7CA016-D,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
K7CA016-D-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
7CA016-D-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
1CA004-A-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
10CA014-0-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
07CA001-0-VN,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
KPR6VC003-B,239,231,224,210,0,0,0,0,21,19,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,337,0,100,100,100,100,100,1,0,0,0,0,0,0
